Zeitstempel,node_lng,node_lat,hotspot_channel,hotspot_frequency,hotspot_hold_time,hotspot_id,hotspot_lat,hotspot_long,hotspot_name,hotspot_reported_at,hotspot_rssi,hotspot_snr,hotspot_spreading,hotspot_status,type,uuid,id,name,fcnt,reported_at,port,devaddr
24.12.2022 11:45:59,12.1721,47.5921,6,868.2999877929688,0,112nQquNCKtNbtk9jyyPymgMsLYoTD9DkxGvygRKNEPCy5yaEL6E,47.59166809579357,12.174643565689877,cool-carob-dolphin,1671878756808,-112,4.800000190734863,SF7BW125,success,uplink,4f279342-172f-4605-90a9-d5a916f6949f,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,199,24.12.2022 11:45:56,3,01000048
24.12.2022 11:46:59,12.1721,47.5921,7,868.5,0,112nQquNCKtNbtk9jyyPymgMsLYoTD9DkxGvygRKNEPCy5yaEL6E,47.59166809579357,12.174643565689877,cool-carob-dolphin,1671878816747,-106,8.199999809265137,SF7BW125,success,uplink,677733fc-3049-4b8f-8b17-fc15ab55d788,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,200,24.12.2022 11:46:56,3,01000048
24.12.2022 11:47:59,12.1721,47.5921,5,868.0999755859375,0,112nQquNCKtNbtk9jyyPymgMsLYoTD9DkxGvygRKNEPCy5yaEL6E,47.59166809579357,12.174643565689877,cool-carob-dolphin,1671878876795,-108,8.0,SF7BW125,success,uplink,229e6caa-45e3-4eef-9164-f12fcd5a1678,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,201,24.12.2022 11:47:56,3,01000048
24.12.2022 11:48:59,12.1721,47.5921,6,868.2999877929688,0,112nQquNCKtNbtk9jyyPymgMsLYoTD9DkxGvygRKNEPCy5yaEL6E,47.59166809579357,12.174643565689877,cool-carob-dolphin,1671878936765,-112,4.0,SF7BW125,success,uplink,ab60c3ac-8ca3-4026-8938-e6b2280b1757,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,202,24.12.2022 11:48:56,3,01000048
24.12.2022 11:49:59,12.1713,47.5922,7,868.5,0,112YTuN46vC7YCFnoUDGVPfUz3pMDNSJXwcmiJGo5izGwzZxo61o,47.59136984382645,12.169709244076945,calm-orchid-snake,1671878996711,-94,7.5,SF7BW125,success,uplink,9feba887-f166-4036-8934-c99385c33a71,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,203,24.12.2022 11:49:56,3,01000048
24.12.2022 11:51:00,12.1666,47.5913,6,868.2999877929688,0,11KAjhPC6KvzENpWci8f2RSZgaN85iBkYfiL4cJdpkR2eHguJNt,47.58867324809224,12.159051675864555,gigantic-tweed-sardine,1671879056903,-94,9.199999809265137,SF7BW125,success,uplink,c6dc3692-a59b-4759-8fb6-185f2b0fabda,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,204,24.12.2022 11:50:56,3,01000048
24.12.2022 11:51:59,12.1619,47.5857,5,868.0999755859375,0,112nQquNCKtNbtk9jyyPymgMsLYoTD9DkxGvygRKNEPCy5yaEL6E,47.59166809579357,12.174643565689877,cool-carob-dolphin,1671879116749,-126,-8.199999809265137,SF7BW125,success,uplink,1fcc4a9a-5ea0-4ed1-beef-309be58b6477,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,205,24.12.2022 11:51:56,3,01000048
24.12.2022 15:41:59,12.1582,47.5756,5,868.0999755859375,0,112Dk15v8LZLXLEbAwMiC1j48kekxhNCReUxFXAgTtc4kJxgf7Rd,47.56709396667235,12.155058925144669,young-amethyst-cod,1671892915913,-112,1.2000000476837158,SF7BW125,success,uplink,6f711aac-5bce-4b54-be5a-9b7aa9b89d1c,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,209,24.12.2022 15:41:55,3,01000048
24.12.2022 15:42:58,12.1578,47.5757,6,868.2999877929688,0,112Dk15v8LZLXLEbAwMiC1j48kekxhNCReUxFXAgTtc4kJxgf7Rd,47.56709396667235,12.155058925144669,young-amethyst-cod,1671892975407,-109,-3.200000047683716,SF7BW125,success,uplink,c6241e40-1bcc-4767-8eee-bf054f654d11,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,210,24.12.2022 15:42:55,3,01000048
24.12.2022 15:43:58,12.1575,47.5759,5,868.0999755859375,1,112Dk15v8LZLXLEbAwMiC1j48kekxhNCReUxFXAgTtc4kJxgf7Rd,47.56709396667235,12.155058925144669,young-amethyst-cod,1671893035733,-109,1.2000000476837158,SF7BW125,success,uplink,4b05122b-4bfa-4b44-bac2-e256f217a008,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,211,24.12.2022 15:43:55,3,01000048
